Aviz_1,Aviz_2,Aviz_3,Aviz_4,Aviz_5,Aviz_6,Aviz_7,Aviz_8,Aviz_9,Aviz_10,Aviz_11,Aviz_12,Aviz_13,Aviz_14,Aviz_15,Aviz_16,Aviz_17,Aviz_18,Aviz_19,Aviz_20,Aviz_21,Aviz_22,Aviz_23,Aviz_24,Aviz_25,Aviz_26,Aviz_27,Aviz_28,Aviz_29,Aviz_30,Aviz_31,Aviz_32,Aviz_33,Aviz_34,Aviz_35,Aviz_36,Aviz_37,Aviz_38,Aviz_39,Aviz_40,Aviz_41,Aviz_42,Aviz_43,Aviz_44,Aviz_45,Aviz_46,Aviz_47,Aviz_48,Aviz_49,Aviz_50,Aviz_51,Aviz_52,Aviz_53,Aviz_54,Aviz_55,Aviz_56,Aviz_57,Aviz_58,Aviz_59,Aviz_60,Aviz_61,Aviz_62,Aviz_63,Aviz_64,Aviz_65,Aviz_66,Aviz_67,Aviz_68,Aviz_69,Aviz_70,Aviz_71,Aviz_72,Aviz_73,Aviz_74,Aviz_75,Aviz_76,Aviz_77,Aviz_78,Aviz_79,Aviz_80,Aviz_81,Aviz_82,Aviz_83,Aviz_84,Aviz_85,Aviz_86,Aviz_87,Aviz_88,Aviz_89,Aviz_90,Aviz_91,Aviz_92,Aviz_93,Aviz_94,Aviz_95,Aviz_96,Aviz_97,Aviz_98,Aviz_99,Aviz_100,Aviz_101,Aviz_102,Aviz_103,Aviz_104,Aviz_105,Aviz_106,Aviz_107,Aviz_108,Aviz_109,Aviz_110,Aviz_111,Aviz_112,Aviz_113,Aviz_114,Aviz_115,Aviz_116,Aviz_117,Aviz_118,Aviz_119,Aviz_120,Aviz_121,Aviz_122,Aviz_123,Aviz_124,Aviz_125,Aviz_126,Aviz_127,Aviz_128,Aviz_129,Aviz_130,Aviz_131,Aviz_132,Aviz_133,Aviz_134,Aviz_135,Aviz_136,Aviz_137,Aviz_138,Aviz_139,Aviz_140,Aviz_141,Aviz_142,Aviz_143,Aviz_144,Aviz_145,Aviz_146,Aviz_147,Aviz_148,Aviz_149,Aviz_150,Aviz_151,Aviz_152,Aviz_153,Aviz_154,Aviz_155,Aviz_156,Aviz_157,Aviz_158
0,0,0,4.41371876506108,4.19434780728009,0,0,4.67497130718204,0,0,0,4.80215775318696,0,0,0,0,0,4.63777982937416,4.16016829295851,0,0,0,0,3.91513590662201,0,0,0,0,0,0,4.10178143132797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.57616851960781,0,5.02521981726804,5.03797201155678,4.20606992374019,3.99056082999402,0,4.38120536123858,0,4.83979218444533,4.80215775318696,0,4.44619531301464,0,0,0,0,4.95111885915453,0,4.46707508351521,4.86317410366005,4.29090233289374,4.11038766587509,3.97703733522468,0,0,0,0,0,0,4.73946949387049,0,0,0,4.54943243709754,0,0,0,0,4.12447161891949,0,0,0,0,4.3372994914068,0,4.4173388103194,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18596689276784,0,0,0,0,0,0,3.92885653358191,3.97877378433012,0,3.91275330367132,0,0,0,0,0,0,0,4.06126394230025,0,4.25837384896812,0,4.06877936300956,4.07561994592878,0,0,0,0,0,4.28762260248619,0,0,0,0,0,0,3.91450182282731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.55354322208026,0,0,0,0,0,0,4.74362733757089,0,4.44619531301464,0,0,0,0,0,0,0,4.7170960558366,4.71357453777207,0,3.77107278322119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50392680419351,0,0,0,0,0,0,0,0,4.54489861335298,0,0,0,0,0,0,4.71374247840908,3.96454246607914,3.89431606268444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.22372950936488,4.70079022137435,0,0,4.76180760185223,5.12725709882599,4.73923997015154,0,4.74885446764594,4.92571937390974,0,0,0,0,4.59078612386088,0,4.49068871671319,0,0,4.26121527226859,0,0,0,4.29116897571526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25548959807554,0,0,0,4.42824821434295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25270743300728,4.76687366860107,0,4.60419364183912,0,5.20108563169064,4.67418116277987,4.91053903148969,0,5.08620317162631,0,0,4.47964727876939,0,0,4.35470374462581,5.22558063098924,0,0,0,0,0,0,0,4.80775820619625,4.19086373312875,0,0,0,0,0,0,0,0,0,0,0,4.69366540485922,0,0,0,0,0,0,0,0,4.65128770796321,0,0,0,0,0,0,4.06710806905957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.54992240412951,0,3.93247376467715,0,0,0,0,4.59078612386088,0,3.9610887197679,5.10196004591066,0,0,0,0,0,0,4.29536914851001,0,4.6444681323053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16106838547117,0,0,4.52707540274171,0,0,4.6716633461617,0,0,4.89622850249912,5.19866808161226,0,0,0,0,4.30610320872759,0,0,4.97392179394886,0,0,0,0,0,0,4.43089704902726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.15679136800393,0,3.90848501887865,4.71417043331956,4.73621318335188,0,0,0,0,0,3.9610887197679,0,4.85922238490383,0,4.82374150537387,0,0,0,0,4.80249322411637,4.7340233243131,0,4.94440863837179,0,3.79267178914157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.78349623722452,0,4.85896406400924,0,0,0,0,4.49068871671319,5.10196004591066,4.85922238490383,0,0,4.02333478253831,0,0,0,0,4.69252085581355,4.8215724784058,4.94319763006893,4.28943286385079,0,0,0,0,4.83140260856939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92556990954338,0,0,4.22256040916522,0,0,4.47148240662766,0,0,4.60460400566297,5.01931572919318,0,0,0,0,4.23118914548267,0,0,4.81026613081828,0,0,0,0,0,0,4.34468694370562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.90816320005555,0,4.10253660687407,4.33593906903173,4.31580246973705,3.96113621738723,0,4.64692300047849,0,0,4.63777982937416,4.95111885915453,0,0,0,0,0,0,4.62947076303239,0,4.53736568161789,4.62227620865457,4.0907516896449,4.91470800162466,0,0,0,0,0,0,4.97088592228681,0,0,0,4.6996990068748,0,0,0,0,4.09443618801796,0,0,0,0,4.51251096391834,0,4.4341535710666,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23159700556491,0,0,0,0,0,0,4.00371896382311,4.04218159451577,3.73782850589578,3.96628256216746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.86278709823534,0,0,4.79299368055968,0,0,4.16016829295851,0,0,0,0,4.82374150537387,4.02333478253831,4.62947076303239,0,0,0,0,0,5.06877936300956,0,0,4.65273935768551,0,4.48505386006069,0,4.18449268852842,0,0,0,4.47642582705801,3.91270020819086,0,0,0,0,0,0,0,0,4.28096514809709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.50815249331495,0,4.54275075673258,4.42373724998233,0,4.44156946263632,0,0,0,5.153232366892,0,4.46707508351521,4.7170960558366,4.26121527226859,0,0,0,0,0,0,4.63940679489605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52953301232324,0,4.57315020446508,3.96051834278071,4.45458572986754,4.6625878571045,0,0,0,0,0,4.64260299754183,0,0,0,0,0,0,4.74778456620863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
